Company Name,Job Title,About Company,Location,Skills Required,Logo,Tags
Legal Suvidha,Web Development,We are an online legal and compliance solution provider. We are helping startups and MSMEs across India with all registration and filing services required under various laws.,Gurgaon,JavaScript  PHP  Python  Windows Mobile Application Development  WordPress ,https://internshala.com/cached_uploads/logo%2F5e2fddd63e5c61580195286.jpg,web development javascript php python windows mobile application development wordpress
CyberStop,Web Development,"We're a team of passionate developers specializing in WordPress, WooCommerce, and custom web solutions. Our focus is on delivering high-quality results tailored to our client's unique needs. Contact us today to bring your online vision to life",Work From Home,WordPress ,https://internshala.com/cached_uploads/logo%2F63f88ccae78a61677233354.png,web development wordpress
Whitehat Media,Website Development & Content Management,"Whitehat Media assists brands in reputation management with growth-driven marketing, innovation, creativity and kickass digital technology.",Work From Home,Adobe Photoshop  Cloud Computing  Google AdWords  Google Analytics  Google Cloud Computing  HTML  JavaScript  MS SQL Server  MySQL  Search Engine Marketing (SEM)  Search Engine Optimization (SEO)  Web Application Security ,https://internshala.com/cached_uploads/logo%2F6196592f0340f1637243183.png,website development & content management adobe photoshop cloud computing google adwords google analytics google cloud computing html javascript ms sql server mysql search engine marketing (sem) search engine optimization (seo) web application security
Continuum ElectroProducts LLP,Web Development,"Continuum ElectroProducts is a Delhi and Pune-based organization which specializes in auto-identification technologies like RFID, biometrics & related. We are tied up with some of the best OEMs in the industry for providing automation-related projects to the industry.",Delhi,.NET  Android  ASP.NET  CSS  Microsoft Visual Studio  MySQL  Node.js  ReactJS  React Native ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,web development .net android asp.net css microsoft visual studio mysql node.js reactjs react native
InfinityX Innovations Private Limited,Electronics and Electrical Engineering,InfinityX Innovations was founded in January 2019 to accelerate the adoption of electric vehicles in India. We are developing patent pending next gen EV battery swapping technology that can recharge and EV in less than 30 seconds. Our technology has won several national and international awards.,Bangalore,C++ Programming  Circuit Design  C Programming  Embedded Systems  PCB Design  PCB Soldering ,https://internshala.com/cached_uploads/logo%2F613065116d83b1630561553.jpg,electronics and electrical engineering c++ programming circuit design c programming embedded systems pcb design pcb soldering
Kalvi,Technical Mentoring,"Kalvium is pioneering a new era of technology education with work-integrated degree programs in partnership with top-ranked universities and leading tech enterprises globally. We have raised a seed round from 30+ super angels and are backed by global tech leaders. We are looking for passionate individuals who can ideate, innovate and resonate with our vision and help Kalvium reach new heights. There are no boundaries we are afraid to explore and no stones we won't upturn to solve the current skill gap perpetuated by antiquated engineering curriculums.",Jalandhar,C++ Programming  HTML  Java ,https://internshala.com/cached_uploads/logo%2F632c1431e022a1663833137.png,technical mentoring c++ programming html java
ALFA KPO Private Limited,Network Engineering,"ALFA KPO Private Limited is a full-service digital marketing and social media agency committed to the development and maintenance of an online presence through the creation and management of your online personality. We work for international clients located in the US, the UK, Australia, and Europe. Our head office is located in New York, USA, and our development center at Mumbai.",Mumbai,CCNA  Computer Networking  Computer Networks ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,network engineering ccna computer networking computer networks
Vawsum,Web Development,"Vawsum is one of the fastest-growing ed-tech companies in India with 1000+ schools using our app to enhance academics, engagement, safety, branding, and growth in their institutes. It helps connect different stakeholders of a school to engage and collaborate with each other instantly. Founded by the alumnus of FMS and BITS, Vawsum now houses a young and passionate team from leading institutes like IITs, IIMs, and NITs. We have been awarded as the 'best startup' from the Indian Chamber of Commerce and Devendra Fadnavis and were covered in media by The Telegraph, Times Now, Dainik Bhaskar, and many more. We have also been recognized by NITI Aayog, the Department of Industrial Policy and Promotion, and TATA, among others.",Kolkata,Bootstrap  CSS  HTML  JavaScript  PHP ,https://internshala.com/cached_uploads/logo%2F5e2fdd483adb91580195144.jpg,web development bootstrap css html javascript php
INFOCUS IT CONSULTING PRIVATE LIMITED,Information Security Analysis,"INFOCUS-IT is one of the finest audit & consulting organizations, focusing on a range of cyber security solutions, IT security training and information security services. INFOCUS-IT was established in the year 2014 by a team of experienced and enthusiastic professionals, who have more than 15 years of industry experience. We provide audit and consultancy services related to all areas of information technology and cyber security.

Our success story is our customers repeated business, feedback and references received as positive comments. Our team comprises a bunch of enthusiastic subject matter experts in information security services, product development and cloud-based solutions.",Delhi, ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,information security analysis
Digio,Android App Development,"Digio is a fast-growing, profitable product startup founded in 2016 by ex-Flipkart, and Twitter folks, playing a key role in India's digital story. The company is building software platforms and products to power business processes, to go paperless and digital in order to bring down cost overheads, and time involved in erstwhile offline business processes, thereby being instrumental in increasing operational efficacy and human productivity along with enabling presence-less digital reach and super-rich end-user experience.

Digio is the market leader in India for digital onboarding and has played a key role so far in enabling digital transformation in India by empowering a large part of the Indian ecosystem specifically the fintech sector of India. Digio has been honored as the world's 100 most innovative Regtech company by the World Fintech Forum.",Bangalore,Android  Java  Kotlin  REST API ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,android app development android java kotlin rest api
Digio,Backend Development- Java,"Digio is a fast-growing, profitable product startup founded in 2016 by ex-Flipkart, and Twitter folks, playing a key role in India's digital story. The company is building software platforms and products to power business processes, to go paperless and digital in order to bring down cost overheads, and time involved in erstwhile offline business processes, thereby being instrumental in increasing operational efficacy and human productivity along with enabling presence-less digital reach and super-rich end-user experience.

Digio is the market leader in India for digital onboarding and has played a key role so far in enabling digital transformation in India by empowering a large part of the Indian ecosystem specifically the fintech sector of India. Digio has been honored as the world's 100 most innovative Regtech company by the World Fintech Forum.",Bangalore,Hibernate (Java)  Java  MySQL  Python ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,backend development- java hibernate (java) java mysql python
MyNalanda Solutions & Services Private Limited,R Programming (Data Analytics),"myNalanda Solutions & Services Private Limited is a technology-based company, revolutionizing education with data analytics. We help schools to achieve quality learning outcomes and operational excellence through assessment and analytics of students, teachers, brands, and infrastructure. We are one of the niche technology fields in the education domain.",Pune,Data Analytics  MS-Excel  R Programming ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,r programming (data analytics) data analytics ms-excel r programming
HypeGPS Tracker,Flutter Development,"We provide affordable and quality-based services and our tracking software and systems give you the visibility you need to track and manage your assets, and vehicles efficiently while streamlining your operations, reducing costs, and increasing revenue. Track your vehicle in real-time from anywhere.",Delhi,Dart  Firebase  Flutter  REST API ,https://internshala.com/cached_uploads/logo%2F63c650ec4266c1673941228.png,flutter development dart firebase flutter rest api
Necesario Innovations Private Limited,Product Engineering,Necesario Innovations is a startup company located at IIT Gandhinagar. The company works on an innovative product in the field of computational photography cameras called Snapper.,Ahmedabad,AutoCAD  Blender 3D  CAD ,https://internshala.com/cached_uploads/logo%2F5f57c239482001599586873.png,product engineering autocad blender 3d cad
Bootstrap Digital Solutions,JavaScript & Google AppScript Development (Full Stack Development),We are in digital marketing and automation. We are helping our clients to successfully run their webinars on automation and building the whole digital space.,Delhi,Bootstrap  CSS  Google Suite (G Suite)  Google Workspace  HTML  JavaScript  jQuery  MongoDB  MS-Excel  MySQL  Node.js  PHP  Power BI  ReactJS  WordPress ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,javascript & google appscript development (full stack development) bootstrap css google suite (g suite) google workspace html javascript jquery mongodb ms-excel mysql node.js php power bi reactjs wordpress
2D3D,Game Development,2D3D is an India-based start-up that came into popularity in Sept '21. Our prime focus is to expand our creativity all around the globe and help businesses to grow. We provide the best quality design solutions from A to Z or 2D to 3D. We have worked with thousands of happy clients till today and marked our presence on most social media platforms.,Work From Home,Android  C#  JavaScript  Unity 3D  Unity Engine ,https://internshala.com/cached_uploads/logo%2F614778e8d24f41632073960.jpg,game development android c# javascript unity 3d unity engine
IVizz,Content Development (Logical Reasoning),We are building digital twins of the bedside to prevent safety issues within hospitals. We use AI/sensors to automate processes and improve care.,Work From Home,Creative Writing  English Proficiency (Spoken)  English Proficiency (Written)  MS-Office ,https://internshala.com/cached_uploads/logo%2F61c2b824ee3571640151076.png,content development (logical reasoning) creative writing english proficiency (spoken) english proficiency (written) ms-office
PixalSoft,Support Engineering,"TrueGether by PixalSoft combines social, mobile, analytics, and AI to build human brain-like capabilities to buy and sell smarter. Since the internet can be so anonymous, our company is attempting to make an online marketplace that's not anonymous. TrueGether utilizes information from people's social media accounts such as LinkedIn and Facebook. Members have social profiles showing their social connections, recommendations, and feedback from others, so others get a true sense of who they are, where they're from, and what they're about.

In other words, they can see that the product being sold isn't by an anonymous seller but rather a real-life person who is not out to scam them. TrueGether has created a no-fee marketplace that provides a face-to-face aspect of online shopping. Our management team consists of people from top business schools, technical schools, and the e-commerce industry, we aim to give you a great buying and selling experience.",Jaipur,English Proficiency (Spoken)  English Proficiency (Written) ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,support engineering english proficiency (spoken) english proficiency (written)
AutomizeApps,Web Development,"We, at AutomizeApps, drive the eCommerce growth of online consumer businesses through our 360-degree insights and one-on-one relationships. We offer a complete one-on-one solution for your eCommerce evolution!",Work From Home,Flask  JavaScript  jQuery  Python ,https://internshala.com/cached_uploads/logo%2F5fbaa4267d6581606067238.png,web development flask javascript jquery python
Material Intelligence Lab,Mechanical Engineering,"M19-Material Intelligence lab is perhaps the only startup in India developing indigenous scientific lab instruments for advanced material research. developing hardware and software to more precisely evaluate materials for airflow resistance, porosity, pore size, and water vapor transmission. They're crucial characteristics in testing any kind of material, with the far-ranging impact that will affect applications in air filtration, water purification, sound absorption, data acquisition, membrane technology, chemical manufacturing, biomechanical engineering, oil and natural gas, the food and beverage industry, and medical/technical textile development.",Vadodara, ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,mechanical engineering
Add Innovations Private Limited,Computer Vision Algorithm Development,"Add Innovations is a Delhi-NCR-based technology company with a product line in industrial vision systems and advanced driver assistance systems (ADAS). Founded in 2015 by three technology geeks, Add Innovations has a passion for improving existing technologies and making them scalable and affordable to small and medium enterprises (SME). Our vision systems have been implemented to improve production line efficiency, automate and reduce human errors at factories across North India. Our systems are currently used by manufacturers of automobile parts, electrical goods, and garment accessories. 

We are in the process of testing our products at pharma contract manufacturers. We package hardware and software using our scalable, proprietary designs, and nimble code which runs on standard windows PC, bringing extremely economical stand-alone products to our clients.",Greater Noida,C++ Programming  OpenCV ,https://internshala.com/cached_uploads/logo%2F5e2fdd131503a1580195091.png,computer vision algorithm development c++ programming opencv
Brahmabeej,Automobile Engineering,"We help provide a unique experience to your user by presenting your vision and helping you with product design, branding, and knowledge sharing content by setting up your online presence.",Gurgaon,MS-Excel  MS-PowerPoint ,https://internshala.com/cached_uploads/logo%2F62c82407e39051657283591.png,automobile engineering ms-excel ms-powerpoint
Kynseo,Ethical Hacking,"After a surge of growth in our early years as a marketing agency, we made an intentional decision to pour our main resources into solidifying a strong, stable, premium-quality service which is the foundation that we grow upon. We knew we didn't want to just make a ton of money - we want to make an impact. We do that by creating a multimillion-dollar environment of growth utilizing a holistic approach.",Work From Home,.NET  C++ Programming  Ethical Hacking  GitHub  Java  JavaScript  Node.js  Python  web3.js ,https://internshala.com/cached_uploads/logo%2F629e57ba7e4f71654544314.png,ethical hacking .net c++ programming ethical hacking github java javascript node.js python web3.js
Inorbvict Healthcare India Private Limited,IT Infrastructure Management,"Established in the year 2014 in Pune, Maharashtra, Inorbvict Healthcare India Private Limited is a company-based firm, engaged as the manufacturer, trader, exporter, and wholesaler of biphasic defibrillators, CPAP machines, EMG machines, and much more. The products which are manufactured are widely appreciated by our clients for their astonishing finish, perfect quality and cost valuable nature.",Pune,Client Relationship  Windows Mobile Application Development ,https://internshala.com/cached_uploads/logo%2F6177d029600941635242025.jpg,it infrastructure management client relationship windows mobile application development
Wolfpack,WordPress Website Design & Content Management,We provide tailor-made business solutions focused on customer experience and long-term business growth.,Work From Home,Adobe Photoshop  Content Marketing  Content Writing  CSS  HTML  JavaScript  UI & UX Design  WordPress ,https://internshala.com/cached_uploads/logo%2F608f9293e79261620021907.png,wordpress website design & content management adobe photoshop content marketing content writing css html javascript ui & ux design wordpress
Shravan Singh (Sachtak),Google Cloud GCP,I design and develop simple solutions that improve the experiences of my clients and deliver maximum value to the business. We are building a news channel for India.,Work From Home,Docker ,https://internshala.com/cached_uploads/logo%2F61d273748dd4e1641182068.png,google cloud gcp docker
Spacenos Technologies Private Limited,Product Management,"Spacenos is a company that is innovating in the healthcare, finance, and marketing domain since 2015 and has won multiple awards & recognitions from more than 30+ MNCs and Fortune 500 companies. We are funded & supported by the government of Karnataka, angel investors, and international grants.",Work From Home, ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,product management
Everstylish Lifestyle Private Limited,Web Design,"We're an e-commerce company dealing in accessories for women. We've already become one of the most well-known names in online fashion jewelry and are also expanding to apparel and other fashion accessories. We have a strong social media presence. With over 3.6M followers on Facebook and 280K on Instagram, we have an audience that looks up to us for content. Perhaps that's one of the reasons we are focusing deeply on generating content for our brand.",Gurgaon,Adobe Illustrator  Adobe Photoshop  Adobe Photoshop Lightroom CC  CSS ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,web design adobe illustrator adobe photoshop adobe photoshop lightroom cc css
Designbox,3D Artist,"Designbox is an 11-year-old creative agency with a clear focus on quality. Communication design, motion graphics, digital marketing, UI & UX design, and tech are some of the disciplines we work in. Since we are a full-service agency, there are many skill sets within our organization that will help you learn and grow.",Delhi,Blender 3D  Storyboarding ,https://internshala.com/cached_uploads/logo%2F5e2fdd153f2e61580195093.png,3d artist blender 3d storyboarding
Prexinno,Self Driving Car & Robotics,We are in the business of creating self-driving cars and self-cooking robots. We are creating an autonomous solution for daily travel that will reduce accidents and other mishappenings.,Mumbai,Embedded Systems ,https://internshala.com/cached_uploads/logo%2F6361ff110b6601667366673.png,self driving car & robotics embedded systems
Manish Goel,Flutter Mobile App Development,I am a management student at IIM Ahmedabad. I have over 4 years of experience in data analytics and am currently involved with one of the big 3 management consulting firms. I am starting a new venture which will focus on building a B2B marketplace.,Work From Home,Flutter ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,flutter mobile app development flutter
The Urban Hub Cafe,Photo Editing,"With the increasing demand for ergonomic spaces in town by business nomads, budding startup owners, college students, freelancers and individuals for the purpose of running their startups, operating their businesses or working on any college or a freelancing project, we are doing a makeover of The Urban Hub Cafe which is located in the heart of the city, into providing a space convenient for everyone listed above.

This is not going to be just any other coworking space, but a co-working cafe. While everyone is busy working on their Ideas or their projects, we will work on creating an environment for them to work at, with our carefully curated coffee and food menu for all the coworkers in the house.",Jaipur,Adobe Indesign  Adobe Photoshop ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,photo editing adobe indesign adobe photoshop
Bytive Technologies Private Limited,MERN Stack Development,"Bytive Technologies was incorporated in 2022 by Mr. Kavin Sharma (full-stack developer with 5 years of experience), with a motive to build a team of passionate individuals, who want to develop high-quality solutions and enjoy challenges posed by rapidly changing technology. Bytive Technologies aims to grow steadily with its positive and friendly environment. Flexible work timings and work-from-home options (once you are on a client project), fully paid certifications, 360-degree grooming, 5 days a week, and great work-life balance are some of our key USPs, along with other employee-friendly policies.",Noida,CSS  HTML  MySQL  Node.js  Python  ReactJS  React Native  REST API ,https://internshala.com/cached_uploads/logo%2F63f744c8abace1677149384.png,mern stack development css html mysql node.js python reactjs react native rest api
Visanka Technologies Private Limited,Android App Development,"Visanka Technologies is a project-based & service-based company. We provide consultation and software solutions to clients based on their needs and requirements. Visanka Technologies is an Indian-based company working towards excellence in software, and believe in pursuing business through innovation and technology. Our team comes with several years of industry experience and comprises of a highly motivated set of specialists. We are an experienced, dedicated, and energetic team, cognizant of the market and fulfilling our customer's requirements. We believe in delivering high-quality products.",Work From Home,Android  Dart  Firebase  Flutter  JSON  Kotlin  PHP  REST API ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,android app development android dart firebase flutter json kotlin php rest api
Velozity Global Solutions,Full Stack Development (MERN),"Velozity Global Solutions is not only a globally recognized IT company, it's a family that represents togetherness for over two years of a successful journey. For Velozity, the definition of success is to transcend innovative ideas of people to reality with the help of our tech expertise - this is what we as a team want to be remembered for. Our vision has led Velozity to become an emerging IT company in India & the USA for delivering various industry-led mobility solutions. The goal is to empower clients and businesses by creating new possibilities leveraging the technologies of today and tomorrow with the utmost quality, satisfaction, and transparency. 

Our enthusiasm has led us to become a top IT company in India & the USA for delivering various industry-led mobility solutions in web and mobile application development domains, leveraging futuristic technologies like the internet of things (IoT), AI-ML, AR-VR, voice assistants, and voice skills, DevOps & cloud computing, etc.",Work From Home, ,https://internshala.com/cached_uploads/logo%2F61f64d433cd901643531587.png,full stack development (mern)
Accolite Digital,IT Support,"Accolite is an innovative, design-thinking software company that guarantees seamless digital experiences with maximum results. Backed by the best technical minds in the industry and only the best cutting-edge technology, we strive to help our clients overcome their digital challenges and achieve their goals.",Hyderabad, ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,it support
Brahmabeej,Technical Content,"We help provide a unique experience to your user by presenting your vision and helping you with product design, branding, and knowledge sharing content by setting up your online presence.",Gurgaon,Effective Communication  MS-Excel  MS-PowerPoint ,https://internshala.com/cached_uploads/logo%2F62c82407e39051657283591.png,technical content effective communication ms-excel ms-powerpoint
Virtu Build Up,BIM,Our organization provides architectural and engineering services such as CAD drawings and visualizations to firms based in India and abroad.,Work From Home,Autodesk Revit  BIM (Building Information Modeling)  Google SketchUp ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,bim autodesk revit bim (building information modeling) google sketchup
Aiuto Consulting,Interior Design,"Aiuto Consulting is a young and vibrant startup training and translation company founded by experienced industry professionals in 2016 to help businesses navigate through the strategic challenges of operating a successful enterprise in the global marketplace. We offer ERP training services, business management consulting, and outsourcing solutions to our customers. Our team of professionals, who bring years of experience and expertise, makes our engagement with our clients a delightful experience. Aiuto Consulting is also one of the leading foreign language training service providers and is committed to providing world-class foreign language training and creating new-age professionals in the field of language learning, solutions, and services.",Work From Home,3ds Max  Adobe Photoshop  AutoCAD ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,interior design 3ds max adobe photoshop autocad
IC Solutions,WordPress Development,"We develop end-to-end software for our clients. We are into graphic designing, video editing, website design and development, mobile application design and development, ERM/CRM, industry automation, testing, and billing software.",Work From Home,CSS  HTML  JavaScript  Search Engine Optimization (SEO)  WordPress ,https://images1-fabric.practo.com/dermafollix-hair-transplant-and-skin-clinic-surat-1449058531-565ee0e388f5a.png,wordpress development css html javascript search engine optimization (seo) wordpress
First Launch,WordPress Frontend Development,"First Launch is a full-service digital marketing agency based in Bangalore, helping startups validate the market and businesses thrive on the digital front through the harmony of digital marketing, technology, and design. Study, strategize, execute, analyze, and optimize is the five-step approach that we follow to render our digital marketing services. Our digital marketing acumen, understanding of tech and design, our strategic approach, and unabated attitude are what differentiate us from all the other digital marketing agencies. We consistently strive to provide value to the businesses we work with and we believe that if we're not working to be the best at what we do, it is not worth doing. Our services include social media marketing, email marketing, SEO/SEM, and website/app development.",Bangalore,Bootstrap  CSS  HTML  WordPress ,https://internshala.com/cached_uploads/logo%2F603ce3989709f1614603160.png,wordpress frontend development bootstrap css html wordpress
Analystt.ai,PHP Development,"Analystt.ai is an AI-powered funded startup that aims to automate the research and report of any organization. We provide the most comprehensive insights on any of 1000+ structured and unstructured data elements from over 200 sources. Our proprietary suite of intelligent learning-based artificial intelligence technology identifies qualified prospects & flags business risks whilst getting the most comprehensive insights on any company. Our founders come with strong domain expertise. They have successfully run and exited ventures previously. We are a funded company by some high-profile individuals, including 2 of the founders of Indian unicorn.",Work From Home,AJAX  CodeIgniter  HTML  JavaScript  jQuery  LARAVEL  MySQL  PHP ,https://internshala.com/cached_uploads/logo%2F6350fbd785e641666251735.jpg,php development ajax codeigniter html javascript jquery laravel mysql php
Blackcoffer,ASP.NET Development,"Blackcoffer is an enterprise software and analytics consulting firm based in India and the European Union (Malta). It is a data-driven, technology, and decision science firm focused exclusively on big data and analytics, data-driven dashboards, applications development, information management, and consulting of any kind, from any source, on a massive scale. We are a young and global consulting shop helping enterprises and entrepreneurs to solve big data and analytics, data-driven dashboards, applications development, and information management problems to minimize risk, explore opportunities for future growth, and increase profits more effectively. 

We provide intelligence, accelerate innovation and implement technology with extraordinary breadth and depth of global insights into big data, data-driven dashboards, application development, and information management for organizations through combining unique, specialist services, and high-level human expertise.",Work From Home,.NET  Amazon Web Services (AWS)  AngularJS  ASP.NET  C#  C#.NET  HTML  JavaScript  jQuery  Model View Controller(MVC)  MS SQL Server  SQL ,https://internshala.com/cached_uploads/logo%2F5e2fdce8a376f1580195048.png,asp.net development .net amazon web services (aws) angularjs asp.net c# c#.net html javascript jquery model view controller(mvc) ms sql server sql
